"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,76.839345,940566.226170,546838.205448,3333.010400,175.390397,180.121193
2,-1,89.640010,77.037873,940567.328202,546838.211682,3332.372200,175.400092,179.986408
3,-1,89.280006,77.237093,940568.430234,546838.201183,3331.730500,175.399980,179.843448
4,-1,88.919973,77.437035,940569.532266,546838.183795,3331.087499,175.399904,179.702418
5,-1,88.560005,77.637727,940570.633970,546838.159516,3330.443100,175.399858,179.563309
6,-1,88.199980,77.839136,940571.735674,546838.128349,3329.797400,175.399848,179.426169
7,-1,87.839991,78.041290,940572.837050,546838.090291,3329.150299,175.399867,179.290987
8,-1,87.480025,78.244155,940573.938097,546838.045343,3328.501900,175.399912,179.157801
9,-1,87.119960,78.447699,940575.039145,546837.993506,3327.852300,175.399999,179.026666
10,-1,86.759996,78.651947,940576.139536,546837.934779,3327.201400,175.400097,178.897548
11,-1,86.400006,78.856847,940577.239600,546837.868835,3326.549300,175.399894,178.770179
12,-1,86.039989,79.062467,940578.339335,546837.796328,3325.895900,175.400046,178.645202
13,-1,85.680002,79.268634,940579.437758,546837.707090,3325.239800,175.390339,178.512340
14,-1,85.320001,79.475615,940580.537165,546837.630318,3324.585700,175.400063,178.401261
15,-1,84.960001,79.683136,940581.635260,546837.536814,3323.928900,175.399927,178.282330
16,-1,84.599999,79.863437,941259.503327,553996.920789,4609.077699,7366.799861,7483.611017
17,-1,84.239999,79.813837,941314.372640,554079.677514,4631.417800,7454.500112,7573.876944
18,-1,83.879999,79.776410,941360.959161,554074.830411,4636.445000,7454.500132,7574.767625
19,-1,83.519999,79.753358,941407.514186,554069.690657,4639.542000,7454.500101,7575.317895
20,-1,83.159999,79.732971,941443.591214,553977.182640,4626.395600,7366.800027,7486.678453
21,-1,82.799999,79.716157,941489.531082,553971.525499,4628.628500,7366.799873,7487.076607
22,-1,82.439998,79.698283,941535.382040,553965.183648,4630.929800,7366.400086,7487.094445
23,-1,82.080000,79.679118,941581.299600,553959.346390,4633.548100,7366.800095,7487.956660
24,-1,81.719998,79.660588,941627.124967,553952.824421,4636.009800,7366.800042,7488.398040
25,-1,81.360000,79.640515,941672.908012,553946.014723,4638.676800,7366.799995,7488.877123
26,-1,80.999999,79.588147,941677.489696,553679.056596,4597.292000,7103.699883,7222.626893
27,-1,80.639998,79.537246,941721.551944,553671.935875,4603.817000,7103.699907,7223.808982
28,-1,80.280000,79.516637,941765.568260,553664.538580,4606.459500,7103.700009,7224.289418
29,-1,79.920001,79.507109,941809.537332,553656.864711,4607.681300,7103.699972,7224.511788
30,-1,79.560000,79.497625,941853.457520,553648.914596,4608.897400,7103.699838,7224.733224
31,-1,79.199999,79.496252,941897.326855,553640.688890,4609.073600,7103.699905,7224.765409
32,-1,78.840001,79.496399,941941.143368,553632.187923,4609.054699,7103.700129,7224.762184
33,-1,78.480000,79.499835,941984.828976,553623.033742,4608.542700,7103.314588,7224.289780
34,-1,78.120000,79.503484,942028.612353,553614.360203,4608.146100,7103.699975,7224.596452
35,-1,77.759999,79.529927,942053.668077,553519.328241,4588.548500,7016.000039,7134.794640
36,-1,77.399999,79.582842,942115.850368,553595.435044,4597.971900,7103.700100,7222.750011
37,-1,77.039999,79.645736,942159.378496,553585.561704,4589.912300,7103.700131,7221.297106
38,-1,76.679999,79.721770,942202.843632,553575.415071,4580.173000,7103.700145,7219.552993
39,-1,76.319999,79.812639,942246.244136,553564.995472,4568.539600,7103.700087,7217.486285
40,-1,75.959999,79.914165,942289.578367,553554.303236,4555.549799,7103.699895,7215.199948
41,-1,75.599998,80.034027,942332.844684,553543.339348,4540.224400,7103.700132,7212.532129
42,-1,75.239998,80.162829,942376.041120,553532.103478,4523.768600,7103.699996,7209.702318
43,-1,74.879999,80.291355,942419.166034,553520.596611,4507.360799,7103.700026,7206.917228
44,-1,74.519998,80.417072,942462.115095,553508.447357,4491.258700,7103.314471,7203.839109
45,-1,74.160000,80.580830,942505.194733,553496.770871,4470.451800,7103.699827,7200.784671
46,-1,73.800000,80.780256,942548.095238,553484.453310,4445.060600,7103.699989,7196.673001
47,-1,73.439999,80.932072,942590.917659,553471.866393,4425.750300,7103.700149,7193.604489
48,-1,73.080000,81.042986,942633.659700,553459.010448,4411.652900,7103.699970,7191.395962
49,-1,72.720000,81.138976,942702.255035,553529.255386,4413.070800,7191.009817,7277.872074
50,-1,72.359999,81.225247,942745.474108,553516.070701,4402.042900,7191.400043,7276.567173
51,-1,71.999999,81.305485,942788.491083,553502.242973,4391.734200,7191.400117,7275.001783
52,-1,71.640001,81.396660,942831.420131,553488.145232,4380.025700,7191.400125,7273.241071
53,-1,71.280000,81.508918,942874.259940,553473.777807,4365.617600,7191.399971,7271.099524
54,-1,70.919999,81.620503,942917.008870,553459.141681,4351.304099,7191.400070,7268.999941
55,-1,70.560000,81.749132,942959.664625,553444.237184,4334.814600,7191.399987,7266.615172
56,-1,70.200001,81.875150,943002.225892,553429.064970,4318.670100,7191.399905,7264.315804
57,-1,69.839999,82.055781,943044.691358,553413.625696,4295.546700,7191.400006,7261.083943
58,-1,69.479999,82.240231,943087.058727,553397.920019,4271.955400,7191.400121,7257.861137
59,-1,69.119999,82.414044,943129.326687,553381.948266,4249.743500,7191.400101,7254.895453
60,-1,68.759999,82.575140,943171.493270,553365.711094,4229.172800,7191.399865,7252.208275
61,-1,68.399999,82.724203,943213.557162,553349.209815,4210.152000,7191.400163,7249.775128
62,-1,68.039999,82.859046,943255.516395,553332.444100,4192.956700,7191.399972,7247.617301
63,-1,67.680001,82.923759,943197.449582,553072.027626,4152.047900,6928.300114,6981.477269
64,-1,67.320000,82.970129,943237.667678,553055.368539,4146.354900,6928.299922,6980.778045
65,-1,66.959999,83.057477,943277.780459,553038.457483,4135.634100,6928.300158,6979.474305
66,-1,66.599999,83.144097,943317.785956,553021.294460,4125.006500,6928.300054,6978.197580
67,-1,66.240000,83.227217,943357.531283,553003.536293,4114.767300,6927.923939,6976.609214
68,-1,65.880000,83.314665,943433.308035,553066.259265,4114.370000,7016.000015,7064.032038
69,-1,65.519998,83.417418,943437.144641,552968.302112,4091.497300,6928.299931,6974.276727
70,-1,65.159999,83.559608,943476.706242,552950.139418,4074.079400,6928.300076,6972.301638
71,-1,64.800001,83.707544,943516.152685,552931.728366,4055.967999,6928.299978,6970.293229
72,-1,64.440000,83.832622,943555.482987,552913.069611,4040.663200,6928.299818,6968.632216
73,-1,64.080001,83.932590,943594.695179,552894.164465,4028.436000,6928.299939,6967.329333
74,-1,63.720000,84.023995,943633.787949,552875.013256,4017.260200,6928.300066,6966.157058
75,-1,63.359999,84.116085,943672.759655,552855.616642,4006.004400,6928.300068,6964.994193
76,-1,62.999999,84.199234,943711.608659,552835.975605,3995.844600,6928.300096,6963.960040
77,-1,62.640000,84.278459,943750.160419,552815.756813,3986.129400,6927.923904,6962.610520
78,-1,62.279999,84.349683,943788.757455,552795.630213,3977.431900,6927.923909,6961.748816
79,-1,61.919999,84.427622,943827.404359,552775.593508,3967.953700,6928.300198,6961.196524
80,-1,61.559998,84.452956,943740.449153,552523.634038,3939.309500,6665.199977,6696.558842
81,-1,61.199999,84.510794,943777.210890,552503.574367,3932.518400,6665.200091,6695.905919
82,-1,60.840000,84.550447,943856.577529,552559.869202,3936.229900,6752.900097,6783.560413
83,-1,60.479999,84.573140,943893.564660,552539.078889,3933.531099,6752.899978,6783.304524
84,-1,60.120001,84.615196,943930.420229,552518.056949,3928.530000,6752.900070,6782.833463
85,-1,59.759999,84.667528,943967.143253,552496.803383,3922.307800,6752.899885,6782.252191
86,-1,59.400000,84.709101,944003.545411,552475.004542,3917.331800,6752.533616,6781.426848
87,-1,59.040000,84.739389,944085.301153,552528.811849,3921.840400,6840.599913,6869.534634
88,-1,58.679998,84.788081,944122.088809,552506.585187,3915.978200,6840.600011,6868.999731
89,-1,58.319999,84.838414,944158.540836,552483.811939,3909.885800,6840.228755,6868.079228
90,-1,57.960001,84.883837,944148.715068,552387.099534,3896.600400,6752.900084,6779.911591
91,-1,57.600000,84.925503,944184.610994,552364.477204,3891.650599,6752.900120,6779.472020
92,-1,57.239998,84.962278,944220.165713,552341.321410,3887.250100,6752.533498,6778.719004
