"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,77.447172,941005.903113,553979.701992,4550.690500,5612.495336,5749.941760
2,-1,89.640000,77.399002,941041.167150,553979.591100,4555.643900,5612.495229,5751.020259
3,-1,89.279999,77.351317,941076.433811,553979.563541,4560.617700,5612.800048,5752.404813
4,-1,88.919999,77.248038,941111.689974,553978.704947,4571.179999,5612.495339,5754.429699
5,-1,88.559999,77.144407,941146.953355,553978.234147,4581.925200,5612.800075,5757.108132
6,-1,88.200001,77.059294,941182.195739,553976.932640,4590.630300,5612.495409,5758.754295
7,-1,87.839999,76.993226,941217.439107,553975.714139,4597.445500,5612.495316,5760.284247
8,-1,87.480000,76.927662,941252.673944,553974.274509,4604.212499,5612.495502,5761.811224
9,-1,87.119998,76.886471,941287.899268,553972.613095,4608.465600,5612.495273,5762.774460
10,-1,86.760000,76.846510,941323.113108,553970.730881,4612.593200,5612.495517,5763.712575
11,-1,86.400001,76.812086,941358.314481,553968.627211,4616.149900,5612.495524,5764.522987
12,-1,86.040001,76.782275,941393.502075,553966.302084,4619.230700,5612.495218,5765.226340
13,-1,85.679998,76.753178,941428.674577,553963.756486,4622.238700,5612.495498,5765.915141
14,-1,85.319999,76.732104,941463.854953,553961.293236,4624.489400,5612.800064,5766.727733
15,-1,84.960001,76.710647,941498.967415,553958.001904,4626.636400,5612.495338,5766.924291
16,-1,84.600001,76.688864,941534.085455,553954.793577,4628.889500,5612.495362,5767.442650
17,-1,84.239999,76.666787,941569.213338,553951.667599,4631.245500,5612.799875,5768.281852
18,-1,83.880001,76.638233,941576.209715,553686.128760,4571.637400,5349.409498,5498.245300
19,-1,83.520000,76.573916,941609.618112,553682.440447,4577.982900,5349.409506,5499.715210
20,-1,83.160000,76.477970,941643.002560,553678.542489,4587.455200,5349.409691,5501.922484
21,-1,82.799998,76.382198,941676.362073,553674.434558,4596.917800,5349.409614,5504.142637
22,-1,82.440000,76.323479,941709.694684,553670.117309,4602.723300,5349.409685,5505.512467
23,-1,82.080000,76.304414,941742.999735,553665.590415,4604.608800,5349.409490,5505.958391
24,-1,81.719998,76.285531,941776.275916,553660.854861,4606.476800,5349.409834,5506.401297
25,-1,81.360001,76.275774,941809.521256,553655.909989,4607.442000,5349.409786,5506.630164
26,-1,81.000000,76.264797,941842.735100,553650.756127,4608.528000,5349.409575,5506.887711
27,-1,80.640000,76.243659,941861.653370,553558.866219,4589.150500,5261.714314,5417.099707
28,-1,80.280001,76.229498,941894.304551,553553.668395,4590.598900,5261.999857,5417.721644
29,-1,79.919999,76.217619,941926.824499,553547.702856,4591.685400,5261.714272,5417.703008
30,-1,79.560001,76.207447,941959.355930,553541.814416,4592.675800,5261.714336,5417.939103
31,-1,79.200001,76.211015,941991.849960,553535.721581,4592.328400,5261.714332,5417.856287
32,-1,78.839998,76.215099,942024.305275,553529.424677,4591.930800,5261.714347,5417.761549
33,-1,78.479998,76.243101,942039.206492,553436.995400,4567.734700,5174.019114,5326.827441
34,-1,78.119999,76.305355,942089.152258,553516.499506,4583.216300,5262.000149,5415.969370
35,-1,77.760001,76.367310,942121.423847,553509.312513,4577.120899,5261.714469,5414.251906
36,-1,77.400000,76.435280,942153.710528,553502.201963,4570.513600,5261.714423,5412.698352
37,-1,77.039998,76.503639,942185.951934,553494.888657,4563.872399,5261.714352,5411.144484
38,-1,76.680000,76.592467,942218.146423,553487.373252,4555.248200,5261.714532,5409.138413
39,-1,76.319999,76.726476,942250.293340,553479.655420,4542.249600,5261.714493,5406.139100
40,-1,75.960000,76.827962,942303.736147,553557.092929,4553.006599,5349.700002,5494.252510
41,-1,75.599999,76.951630,942336.247237,553548.554888,4540.766200,5349.409780,5491.193425
42,-1,75.239998,77.077382,942368.850190,553540.374458,4528.467600,5349.699978,5488.712650
43,-1,74.880001,77.204110,942401.251044,553531.428610,4515.952500,5349.409710,5485.644340
44,-1,74.519999,77.329505,942433.671254,553522.559533,4503.647200,5349.409796,5482.932194
45,-1,74.160001,77.453147,942466.034707,553513.486717,4491.525800,5349.409569,5480.285980
46,-1,73.800000,77.614762,942498.340744,553504.210817,4475.699100,5349.409485,5476.869527
47,-1,73.439998,77.801060,942530.588055,553494.732489,4457.479700,5349.409813,5472.991015
48,-1,73.080001,77.998693,942562.774671,553485.051406,4438.179600,5349.409681,5468.945180
49,-1,72.719999,78.122230,942594.900263,553475.168224,4426.129900,5349.409624,5466.452288
50,-1,72.360000,78.232444,942626.962863,553465.083599,4415.388900,5349.409691,5464.251702
51,-1,72.000001,78.343207,942658.961486,553454.797530,4404.603099,5349.409583,5462.062128
52,-1,71.639998,78.452704,942690.895149,553444.310674,4393.948999,5349.409629,5459.919495
53,-1,71.280000,78.562006,942722.761884,553433.623360,4383.322100,5349.409524,5457.802065
54,-1,70.919999,78.642731,942783.227642,553505.613701,4393.093400,5437.104877,5545.699004
55,-1,70.559999,78.720764,942815.477905,553494.345023,4385.391800,5437.104815,5544.187438
56,-1,70.200001,78.830144,942847.656647,553482.874245,4374.603400,5437.105017,5542.087624
57,-1,69.839999,78.942384,942879.762882,553471.201040,4363.541300,5437.104847,5539.955156
58,-1,69.480000,79.054206,942911.794970,553459.326720,4352.528800,5437.104976,5537.853676
59,-1,69.120000,79.179930,942943.751927,553447.251285,4340.157200,5437.105063,5535.517966
60,-1,68.759998,79.307259,942975.632441,553434.975063,4327.638200,5437.104952,5533.181386
61,-1,68.400000,79.434165,943007.434871,553422.499038,4315.171200,5437.104969,5530.881817
62,-1,68.040000,79.610415,943006.364007,553328.490696,4281.795199,5349.409604,5438.579074
63,-1,67.680000,79.804707,943070.801870,553396.948564,4278.828400,5437.104978,5524.333347
64,-1,67.319998,79.993487,943102.477660,553384.147409,4260.397600,5437.400054,5521.391410
65,-1,66.960000,80.115219,942996.556283,553047.803921,4187.313500,5086.323899,5162.968374
66,-1,66.599999,80.238517,943025.925975,553035.203881,4176.039800,5086.323865,5161.044963
67,-1,66.240001,80.366668,943055.215615,553022.419786,4164.331200,5086.323920,5159.072763
68,-1,65.880001,80.494324,943084.424546,553009.451636,4152.676600,5086.323801,5157.135138
69,-1,65.519999,80.587766,943149.890294,553076.112264,4158.688299,5174.019043,5244.626038
70,-1,65.159997,80.633915,943179.434855,553062.548314,4154.407000,5174.019088,5243.927634
71,-1,64.799999,80.701046,943208.893457,553048.799326,4148.181100,5174.019365,5242.918291
72,-1,64.439998,80.791359,943238.265118,553034.864971,4139.808999,5174.019160,5241.571788
73,-1,64.079998,80.879913,943267.548524,553020.746561,4131.604100,5174.019097,5240.264954
74,-1,63.719999,80.968150,943296.742691,553006.444424,4123.432600,5174.019042,5238.975895
75,-1,63.359997,81.053502,943325.846635,552991.959217,4115.532200,5174.019153,5237.741584
76,-1,62.999998,81.134297,943394.671629,553055.428578,4121.735900,5261.714532,5325.340105
77,-1,62.640000,81.235786,943424.081019,553040.326902,4112.191500,5261.714286,5323.877241
78,-1,62.280000,81.345581,943412.603680,552947.410421,4088.524100,5174.019149,5233.609496
79,-1,61.920000,81.454376,943441.334265,552932.198509,4078.474900,5174.019281,5232.106913
80,-1,61.560000,81.599182,943469.968722,552916.806152,4065.108100,5174.019221,5230.137292
81,-1,61.199999,81.746063,943498.641237,552901.480395,4051.600800,5174.300117,5228.458976
82,-1,60.839999,81.889554,943526.944658,552885.483380,4038.334400,5174.019234,5226.292859
83,-1,60.479999,81.996785,943555.283841,552869.553950,4028.456999,5174.019062,5224.908319
84,-1,60.120000,82.089753,943583.522301,552853.447027,4019.897600,5174.019071,5223.723490
85,-1,59.760001,82.176662,943611.659056,552837.162938,4011.899600,5174.019057,5222.628787
86,-1,59.399999,82.263022,943639.693121,552820.702341,4003.955400,5174.019098,5221.553401
87,-1,59.039998,82.344510,943667.623183,552804.065892,3996.462300,5174.019097,5220.549916
88,-1,58.680001,82.422572,943695.447930,552787.254574,3989.287000,5174.019223,5219.599019
89,-1,58.319999,82.507282,943723.166707,552770.268387,3981.503500,5174.019139,5218.578261
90,-1,57.960000,82.587326,943750.778200,552753.108645,3974.151600,5174.019279,5217.624802
91,-1,57.600002,82.659593,943778.281098,552735.775674,3967.516200,5174.019227,5216.772834
92,-1,57.239998,82.682905,943710.767453,552570.776332,3942.855000,4998.628725,5039.669331
93,-1,56.879998,82.697464,943737.125668,552553.698282,3941.563899,4998.628691,5039.505025
94,-1,56.520001,82.712026,943763.375944,552536.455206,3940.272700,4998.628801,5039.341175
95,-1,56.159998,82.755274,943789.517624,552519.047105,3936.438299,4998.628698,5038.856090
96,-1,55.800001,82.821276,943815.549068,552501.475290,3930.587900,4998.628565,5038.121520
97,-1,55.440000,82.883751,943841.469948,552483.740417,3925.051700,4998.628760,5037.432879
98,-1,55.080001,82.929624,943917.478326,552537.748839,3931.864700,5086.324049,5125.298293
99,-1,54.720000,82.972931,943943.624927,552519.372563,3927.961400,5086.323936,5124.819195
100,-1,54.360000,83.028920,943969.655715,552500.832574,3922.916200,5086.324088,5124.204571
101,-1,53.999999,83.075063,943995.569377,552482.129200,3918.759100,5086.324008,5123.701613
102,-1,53.640000,83.116980,944021.364929,552463.263424,3914.983400,5086.323920,5123.247664
103,-1,53.280000,83.154946,944047.041387,552444.235903,3911.564199,5086.323769,5122.838874
104,-1,52.919999,83.209790,944072.598095,552425.047621,3906.625900,5086.323958,5122.252838
105,-1,52.560000,83.266424,944098.033411,552405.698906,3901.527700,5086.323765,5121.652366
106,-1,52.199999,83.316262,944123.347009,552386.191071,3897.042200,5086.324034,5121.128634
107,-1,51.840000,83.359819,944148.537247,552366.524444,3893.122800,5086.324024,5120.673929
