"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,87.314146,933819.131069,545704.928187,2818.227799,175.390397,175.583279
2,-1,89.639990,87.228917,933820.233101,545704.924906,2818.489300,175.390578,175.595909
3,-1,89.280006,87.143818,933821.335133,545704.923922,2818.750900,175.399980,175.618141
4,-1,88.920022,87.058552,933822.436836,545704.897019,2819.012100,175.390385,175.621767
5,-1,88.560005,86.973554,933823.538868,545704.882255,2819.273500,175.399858,175.644835
6,-1,88.199989,86.888339,933824.640244,545704.841573,2819.534600,175.390328,175.649298
7,-1,87.839981,86.803335,933825.741620,545704.803515,2819.795600,175.390347,175.663677
8,-1,87.479995,86.718346,933826.842668,545704.758568,2820.056600,175.390392,175.678470
9,-1,87.120018,86.633404,933827.943387,545704.706731,2820.317500,175.390463,175.693669
10,-1,86.760035,86.548510,933829.043779,545704.648004,2820.578299,175.390561,175.709275
11,-1,86.400025,86.463691,933830.143842,545704.582059,2820.838900,175.390357,175.724953
12,-1,86.039989,86.379058,933831.244234,545704.519067,2821.099600,175.400046,175.750895
13,-1,85.680002,86.294236,933832.342657,545704.429829,2821.359700,175.390339,175.757827
14,-1,85.320001,86.209711,933833.442064,545704.353057,2821.620200,175.400063,175.784559
15,-1,84.960048,86.125010,933834.539174,545704.250039,2821.880000,175.390363,175.792246
16,-1,84.600054,86.040508,933835.636613,545704.149973,2822.139899,175.390557,175.810195
17,-1,84.240043,85.956203,933836.734380,545704.052205,2822.399900,175.399992,175.837752
18,-1,83.880047,85.871743,933837.829522,545703.928845,2822.659100,175.390627,175.846879
19,-1,83.520004,85.787449,933838.924992,545703.807783,2822.918500,175.390506,175.865623
20,-1,83.160027,85.703237,933840.019478,545703.679830,2823.177700,175.390352,175.884699
21,-1,82.800007,85.619149,933841.113308,545703.545316,2823.436600,175.390529,175.904463
22,-1,82.439994,85.535250,933842.207466,545703.413098,2823.695700,175.399951,175.933837
23,-1,82.080051,85.451182,933843.298015,545703.255290,2823.953899,175.390453,175.944657
24,-1,81.719993,85.367313,933844.389220,545703.100107,2824.212300,175.390570,175.965455
25,-1,81.360037,85.283559,933845.479113,545702.938034,2824.470400,175.390604,175.986523
26,-1,80.999954,85.199923,933846.568350,545702.769071,2824.728200,175.390652,176.007957
27,-1,80.640048,85.116369,933847.655946,545702.593218,2824.985799,175.390563,176.029611
28,-1,80.279984,85.033043,933848.744527,545702.419990,2825.243600,175.400148,176.061294
29,-1,79.919969,84.949548,933849.828514,545702.220843,2825.500300,175.390336,176.073931
30,-1,79.559997,84.866288,933850.912829,545702.024650,2825.757199,175.390413,176.096809
31,-1,79.200039,84.783177,933851.995832,545701.821566,2826.013700,175.390399,176.119933
32,-1,78.839976,84.700152,933853.077851,545701.611593,2826.270000,175.390357,176.143380
33,-1,78.479992,84.617377,933854.160198,545701.404244,2826.526500,175.399880,176.176738
34,-1,78.120029,84.534598,933855.239264,545701.180819,2826.782200,175.399918,176.200946
35,-1,77.760023,84.451936,933856.317018,545700.950505,2827.037600,175.399867,176.225405
36,-1,77.400059,84.369262,933857.391163,545700.704442,2827.292200,175.390586,176.240965
37,-1,77.040030,84.286839,933858.465964,545700.460676,2827.547000,175.390612,176.266174
38,-1,76.680019,84.204531,933859.539124,545700.210021,2827.801500,175.390482,176.291561
