"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,63.548322,941106.446219,552351.220997,3993.837499,263.085759,293.848672
2,-1,89.640026,63.429870,941108.099102,552351.215748,3994.516699,263.085702,294.151794
3,-1,89.279968,63.304218,941107.548250,552175.823710,3907.042800,87.695397,98.158673
4,-1,88.920022,63.172173,941108.099102,552175.814852,3907.296200,87.695192,98.272592
5,-1,88.560034,63.041365,941108.649954,552175.802713,3907.547900,87.695169,98.386422
6,-1,88.199992,62.911789,941109.200806,552175.787293,3907.797900,87.695328,98.500153
7,-1,87.840092,62.783452,941109.751330,552175.768264,3908.046000,87.695331,98.613378
8,-1,87.480102,62.656248,941110.301854,552175.745626,3908.292400,87.695189,98.726187
9,-1,87.120018,62.530310,941110.852378,552175.719707,3908.537000,87.695231,98.838815
10,-1,86.760029,62.405541,941111.402573,552175.690180,3908.779800,87.695116,98.950946
11,-1,86.399918,62.282078,941111.952769,552175.657372,3909.020699,87.695188,99.062828
12,-1,86.040087,62.159714,941112.502309,552175.620954,3909.259900,87.695079,99.174214
13,-1,85.679895,62.038599,941113.052176,552175.581256,3909.497300,87.695182,99.285394
14,-1,85.319952,61.918673,941113.601388,552175.537949,3909.732800,87.695100,99.395960
15,-1,84.960048,61.800022,941114.150271,552175.491361,3909.966400,87.695181,99.506206
16,-1,84.599937,61.682459,941114.699155,552175.441165,3910.198300,87.695130,99.615956
17,-1,84.240051,61.566202,941115.247382,552175.387687,3910.428199,87.695213,99.725289
18,-1,83.879929,61.451072,941115.795609,552175.330601,3910.656300,87.695168,99.834058
19,-1,83.520004,61.337135,941116.343180,552175.270233,3910.882600,87.695253,99.942481
20,-1,83.160027,61.224404,941116.890423,552175.206257,3911.106900,87.695176,100.050194
21,-1,82.800007,61.112864,941117.437338,552175.139000,3911.329400,87.695264,100.157569
22,-1,82.440011,61.001538,941129.521304,552262.001031,3960.159000,175.390347,200.530282
23,-1,82.080051,60.889594,941130.613165,552261.852737,3960.607500,175.390453,200.748184
24,-1,81.719993,60.778839,941131.704370,552261.697554,3961.052200,175.390570,200.965005
25,-1,81.360037,60.669306,941132.794263,552261.535481,3961.492900,175.390604,201.180545
26,-1,81.000060,60.560968,941133.883172,552261.366518,3961.929699,175.390601,201.394869
27,-1,80.640048,60.453846,941134.971096,552261.190665,3962.362500,175.390563,201.607908
28,-1,80.279984,60.347931,941136.059676,552261.017437,3962.796800,175.400148,201.830755
29,-1,79.919969,60.243188,941137.143664,552260.818291,3963.216200,175.390336,202.030056
30,-1,79.559997,60.139703,941138.227979,552260.622097,3963.637000,175.390413,202.239304
31,-1,79.200039,60.037425,941139.310982,552260.419013,3964.053700,175.390399,202.447084
32,-1,78.839976,59.936331,941140.393001,552260.209040,3964.466400,175.390357,202.653480
33,-1,78.480023,59.836494,941141.473379,552259.992505,3964.874900,175.390485,202.858542
34,-1,78.120041,59.737820,941142.552446,552259.769080,3965.279400,175.390523,203.062124
35,-1,77.760015,59.640353,941143.630199,552259.538766,3965.679699,175.390473,203.264109
36,-1,77.400059,59.544099,941144.706313,552259.301889,3966.075900,175.390586,203.464744
37,-1,77.040030,59.449015,941145.781114,552259.058123,3966.467999,175.390612,203.663793
38,-1,76.680019,59.355110,941146.854274,552258.807468,3966.855900,175.390482,203.861126
39,-1,76.320035,59.262449,941147.925794,552258.550250,3967.239500,175.390512,204.056946
40,-1,75.960039,59.170929,941148.995674,552258.286143,3967.619000,175.390384,204.251061
41,-1,75.600043,59.080641,941150.063913,552258.015475,3967.994200,175.390417,204.443625
42,-1,75.240033,58.991578,941151.130512,552257.738244,3968.365100,175.390610,204.634618
43,-1,74.879969,58.903665,941152.195471,552257.454124,3968.731799,175.390648,204.823802
44,-1,74.520041,58.816895,941153.258133,552257.163114,3969.094200,175.390360,205.010962
45,-1,74.159983,58.731392,941154.319482,552256.865871,3969.452300,175.390638,205.196844
46,-1,73.800032,58.647021,941155.378535,552256.561737,3969.806100,175.390586,205.380662
47,-1,73.439968,58.563801,941156.435948,552256.250714,3970.155600,175.390383,205.562554
48,-1,73.080043,58.481816,941157.491064,552255.933458,3970.500700,175.390476,205.742830
49,-1,72.719975,58.400997,941158.544540,552255.609311,3970.841400,175.390423,205.921097
50,-1,72.359986,58.321331,941159.595719,552255.278603,3971.177800,175.390348,206.097496
51,-1,71.999961,58.242876,941160.644929,552254.941334,3971.509700,175.390347,206.271988
52,-1,71.639987,58.165563,941161.691843,552254.597502,3971.837300,175.390321,206.444576
53,-1,71.279947,58.089450,941162.736788,552254.247109,3972.160399,175.390371,206.615225
