"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,84.176434,936214.390386,554699.123781,3620.493400,2367.771511,2380.054829
2,-1,89.640002,84.018384,936229.267325,554699.076865,3627.094700,2367.771332,2380.733513
3,-1,89.279999,83.860949,936244.143935,554698.936774,3633.674100,2367.771453,2381.428259
4,-1,88.919999,83.708480,936260.672117,554786.382793,3649.718200,2455.466731,2470.345160
5,-1,88.559998,83.559329,936276.099908,554786.176757,3656.204800,2455.599992,2471.196840
6,-1,88.199998,83.410382,936291.518512,554785.607532,3662.656300,2455.466888,2471.796621
7,-1,87.839998,83.262006,936306.937445,554785.074397,3669.101899,2455.466805,2472.544508
8,-1,87.479997,83.114160,936322.352768,554784.444477,3675.528400,2455.466809,2473.306762
9,-1,87.120003,82.966905,936337.763499,554783.717772,3681.933200,2455.466855,2474.082861
10,-1,86.760002,82.854208,936353.169636,554782.893955,3686.837600,2455.466618,2474.687919
11,-1,86.399997,82.752319,936368.570524,554781.973681,3691.273800,2455.466720,2475.243774
12,-1,86.040003,82.651715,936383.964850,554780.956623,3695.656000,2455.466754,2475.800477
13,-1,85.679997,82.552529,936399.352942,554779.842780,3699.978400,2455.466742,2476.357013
14,-1,85.319998,82.454898,936414.733489,554778.632153,3704.234900,2455.466591,2476.912174
15,-1,84.959997,82.360082,936430.106162,554777.325069,3708.370500,2455.466600,2477.458607
16,-1,84.599997,82.279900,936445.470304,554775.921528,3711.869300,2455.466714,2477.926301
17,-1,84.239999,82.201104,936460.825260,554774.421531,3715.308900,2455.466872,2478.390856
18,-1,83.880000,82.109822,936485.519765,554860.020113,3731.448500,2543.161850,2567.468041
19,-1,83.519996,82.012262,936501.402607,554858.266836,3735.863100,2543.162054,2568.077979
20,-1,83.160002,81.914590,936517.273638,554856.413493,3740.284799,2543.161898,2568.696001
21,-1,82.799998,81.807668,936533.133187,554854.460741,3745.127800,2543.162072,2569.381811
22,-1,82.439999,81.689087,936572.055025,555026.274046,3776.122700,2718.552440,2747.404922
23,-1,82.079999,81.549594,936588.980516,555023.973525,3782.884999,2718.552370,2748.390453
24,-1,81.719999,81.416166,936605.891243,555021.566706,3789.357800,2718.552304,2749.349042
25,-1,81.359999,81.329897,936622.786551,555019.053916,3793.545300,2718.552475,2749.977339
26,-1,80.999997,81.244403,936639.665782,555016.434827,3797.697100,2718.552463,2750.606252
27,-1,80.640002,81.159715,936656.527953,555013.709766,3801.811600,2718.552439,2751.235543
