"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,80.485872,936886.553740,550020.048494,3839.903200,87.695362,88.918446
2,-1,89.640097,80.343808,936887.104592,550020.046525,3840.126800,87.695124,88.955444
3,-1,89.280006,80.202359,936887.655772,550020.046197,3840.350500,87.699990,88.998035
4,-1,88.920022,80.060733,936888.206624,550020.032746,3840.573000,87.695192,89.031442
5,-1,88.559900,79.919989,936888.757804,550020.025528,3840.796000,87.700097,89.075032
6,-1,88.199992,79.779041,936889.308327,550020.005187,3841.017800,87.695328,89.109426
7,-1,87.840092,79.638690,936889.858851,550019.986158,3841.239700,87.695331,89.149072
8,-1,87.480102,79.498637,936890.409375,550019.963520,3841.461300,87.695189,89.189054
9,-1,87.119965,79.359254,936890.960227,550019.942523,3841.683000,87.700163,89.234616
10,-1,86.760029,79.219694,936891.510095,550019.908074,3841.903300,87.695116,89.270599
11,-1,86.399918,79.080743,936892.060290,550019.875266,3842.123800,87.695188,89.312176
12,-1,86.040087,78.942215,936892.609830,550019.838849,3842.343800,87.695079,89.354003
13,-1,85.679895,78.804032,936893.159698,550019.799151,3842.563500,87.695182,89.396502
14,-1,85.320001,78.666516,936893.709237,550019.760765,3842.783300,87.700031,89.444195
15,-1,84.960048,78.528854,936894.257793,550019.709256,3843.001600,87.695181,89.482598
16,-1,84.599937,78.391803,936894.806676,550019.659059,3843.220100,87.695130,89.526258
17,-1,84.239926,78.255445,936895.355559,550019.610175,3843.438700,87.699849,89.575120
18,-1,83.879929,78.119062,936895.903130,550019.548495,3843.655600,87.695168,89.614941
19,-1,83.520004,77.983249,936896.450702,550019.488128,3843.872800,87.695253,89.659992
20,-1,83.160027,77.847925,936896.997945,550019.424151,3844.089400,87.695176,89.705263
21,-1,82.800007,77.712948,936897.544859,550019.356894,3844.305700,87.695264,89.751131
22,-1,82.439904,77.578462,936898.091446,550019.286028,3844.521400,87.695195,89.797214
23,-1,82.079933,77.444588,936898.638033,550019.216475,3844.737400,87.699889,89.848505
24,-1,81.720084,77.310722,936899.182651,550019.134126,3844.951500,87.695099,89.890617
25,-1,81.359915,77.177544,936899.727926,550019.053089,3845.165800,87.695164,89.937997
26,-1,81.000060,77.044827,936900.272216,550018.968772,3845.379600,87.695300,89.985820
27,-1,80.640048,76.912539,936900.816178,550018.880845,3845.592900,87.695281,90.033862
28,-1,80.279984,76.780969,936901.360469,550018.794231,3845.806400,87.700074,90.087111
29,-1,79.919988,76.649331,936901.902462,550018.694822,3846.018000,87.695329,90.131118
30,-1,79.560033,76.518665,936902.445440,550018.601318,3846.230500,87.700033,90.184998
31,-1,79.200039,76.388027,936902.986122,550018.495019,3846.440900,87.695199,90.229582
32,-1,78.839976,76.258059,936903.527131,550018.390033,3846.651600,87.695178,90.279381
33,-1,78.479918,76.128622,936904.067484,550018.281765,3846.861699,87.695275,90.329615
34,-1,78.120051,75.999935,936904.607837,550018.174810,3847.072000,87.700119,90.384963
35,-1,77.759888,75.871173,936905.145894,550018.054731,3847.280199,87.695110,90.430700
36,-1,77.399931,75.743209,936905.683951,550017.936293,3847.488600,87.695168,90.481853
37,-1,77.039926,75.615715,936906.221351,550017.814574,3847.696500,87.695343,90.533445
38,-1,76.680019,75.488751,936906.757768,550017.689247,3847.903700,87.695241,90.585042
39,-1,76.320035,75.362258,936907.293528,550017.560638,3848.110400,87.695256,90.637071
40,-1,75.960065,75.236563,936907.829616,550017.433342,3848.317300,87.700086,90.694247
41,-1,75.599939,75.110923,936908.362751,550017.293250,3848.521800,87.695249,90.741901
42,-1,75.239941,74.986239,936908.897199,550017.159064,3848.727499,87.699922,90.799486
43,-1,74.879941,74.861621,936909.428366,550017.012411,3848.930800,87.695165,90.847772
44,-1,74.519938,74.737753,936909.959861,550016.867070,3849.134400,87.695224,90.901211
45,-1,74.159977,74.614715,936910.491684,550016.723041,3849.338200,87.700096,90.959769
46,-1,73.800003,74.491636,936911.019898,550016.566217,3849.539600,87.695135,91.008629
