"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,90.728881,935536.107950,555650.071683,3214.332400,4297.066865,4297.414593
2,-1,89.640001,90.572356,935563.106912,555649.986709,3226.073000,4297.066711,4297.281122
3,-1,89.280001,90.385203,935590.107842,555649.965384,3240.108500,4297.299861,4297.396981
4,-1,88.919998,90.197963,935617.105491,555649.541500,3254.152300,4297.300090,4297.325740
5,-1,88.559999,89.989098,935644.099532,555648.947669,3269.817599,4297.299985,4297.300063
6,-1,88.200001,89.672175,935671.089307,555648.184219,3293.587799,4297.299856,4297.370198
7,-1,87.840000,89.342937,935694.759863,555559.385512,3317.274800,4209.371565,4209.648374
8,-1,87.480001,89.009250,935721.185992,555558.305462,3341.795000,4209.371377,4210.000772
9,-1,87.120001,88.769671,935743.209898,555469.698684,3357.524300,4121.899999,4122.850489
10,-1,86.759999,88.554608,935769.071723,555468.316141,3373.004600,4121.899975,4123.211898
11,-1,86.399998,88.339511,935794.910254,555466.547771,3388.483700,4121.676147,4123.407646
12,-1,86.040001,88.128498,935814.694663,555377.354708,3400.812300,4033.980986,4036.133927
13,-1,85.680000,87.948008,935839.974796,555375.524988,3413.534799,4033.981107,4036.569569
14,-1,85.319999,87.768196,935865.260835,555373.754650,3426.221000,4034.200148,4037.262597
15,-1,84.959998,87.588525,935890.517346,555371.607016,3438.892400,4034.200001,4037.775759
16,-1,84.599999,87.422488,935915.759750,555369.300919,3450.605300,4034.200027,4038.285570
17,-1,84.239998,87.261274,935932.185570,555279.578985,3457.785600,3946.499990,3951.012804
18,-1,83.879999,87.098347,935956.848906,555277.013046,3469.035200,3946.500161,3951.566475
19,-1,83.520002,86.934816,935981.495510,555274.291922,3480.329700,3946.500049,3952.154207
20,-1,83.159998,86.758785,936006.099464,555271.203346,3492.479300,3946.285814,3952.608597
21,-1,82.799999,86.575995,936030.735569,555268.385438,3505.124600,3946.499953,3953.557475
22,-1,82.440002,86.392837,936043.760806,555178.055238,3512.246199,3858.590693,3866.250232
23,-1,82.080000,86.200293,936091.981510,555348.724188,3536.930500,4034.199884,4043.087367
24,-1,81.720002,85.919608,936104.446380,555258.367085,3550.531099,3946.500097,3956.529132
25,-1,81.359999,85.635679,936128.973234,555254.718799,3570.194600,3946.499871,3957.976683
26,-1,81.000000,85.350639,936153.443001,555250.705355,3589.932600,3946.285854,3959.314307
27,-1,80.639999,85.078614,936163.692325,555160.428633,3601.266800,3858.800106,3873.078812
28,-1,80.280001,84.871737,936172.795653,555069.969168,3607.436800,3771.100000,3786.256024
29,-1,79.919999,84.682317,936165.438384,554893.202790,3603.682300,3595.699998,3611.242268
30,-1,79.560002,84.497912,936171.777610,554802.930660,3606.910999,3508.000034,3524.237234
31,-1,79.199999,84.324933,936193.441609,554798.868333,3617.603200,3507.999843,3525.278300
32,-1,78.840000,84.152579,936232.053736,554880.712001,3637.244800,3595.700002,3614.507261
33,-1,78.479999,83.978002,936254.166225,554876.078480,3648.298500,3595.504932,3615.456135
34,-1,78.120002,83.822822,936258.273828,554785.866718,3648.677000,3508.000054,3528.486787
35,-1,77.759997,83.671057,936298.380703,554866.776989,3667.785900,3595.504780,3617.552324
36,-1,77.399999,83.518719,936320.485646,554862.108692,3677.488300,3595.699983,3618.828686
37,-1,77.040002,83.369288,936342.474447,554856.921038,3686.967300,3595.504944,3619.717181
38,-1,76.679997,83.255856,936364.474403,554851.785221,3694.183399,3595.504873,3620.557446
39,-1,76.319999,83.142670,936386.441223,554846.511282,3701.387200,3595.504706,3621.410330
40,-1,75.959998,83.029835,936408.422150,554841.289179,3708.596000,3595.700189,3622.472152
41,-1,75.600000,82.901020,936604.744920,555515.071296,3804.150200,4297.066714,4330.261895
42,-1,75.240000,82.751358,936608.590713,555423.694183,3804.427300,4209.599884,4243.514295
43,-1,74.880000,82.614110,936611.270498,555332.211426,3803.309100,4121.900015,4156.386164
44,-1,74.519999,82.479449,936612.785586,555240.647961,3801.555700,4033.981153,4068.982614
45,-1,74.159999,82.358674,936613.312816,555149.647159,3798.473000,3946.500144,3981.859496
46,-1,73.799997,82.249978,936612.678959,555058.585989,3794.161100,3858.799937,3894.371725
