"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,82.549292,937321.011532,550353.162001,4052.849700,1841.599991,1857.281411
2,-1,89.639995,82.363092,937332.582703,550353.125584,4058.939499,1841.599926,1858.080842
3,-1,89.279996,82.177365,937344.154531,550353.116725,4065.032900,1841.700130,1858.999706
4,-1,88.920002,81.992022,937355.722749,550352.834902,4071.091600,1841.600046,1859.734915
5,-1,88.560001,81.807220,937367.293592,550352.680375,4077.166200,1841.699992,1860.689823
6,-1,88.200001,81.622865,937378.857545,550352.253210,4083.202999,1841.599917,1861.460675
7,-1,87.839998,81.439050,937390.421826,550351.853605,4089.242199,1841.600104,1862.350284
8,-1,87.480002,81.240255,937401.983155,550351.381165,4095.780100,1841.600099,1863.334736
9,-1,87.119997,81.036283,937413.541531,550350.835890,4102.495500,1841.599904,1864.369055
10,-1,86.760004,80.830470,937430.052325,550437.773380,4123.434899,1929.295244,1954.268544
11,-1,86.399998,80.615903,937442.153022,550437.050285,4130.852700,1929.295300,1955.464385
12,-1,86.039998,80.402070,937454.256016,550436.355732,4138.272000,1929.400157,1956.791198
13,-1,85.679996,80.188539,937466.339326,550435.376075,4145.654700,1929.295396,1957.932441
14,-1,85.319999,79.975932,937478.432477,550434.529292,4153.051100,1929.400042,1959.309441
15,-1,84.960002,79.824122,937490.502335,550433.397733,4158.306600,1929.295125,1960.127788
16,-1,84.600002,79.691740,937502.574161,550432.295045,4162.909799,1929.295306,1960.946450
17,-1,84.240004,79.560014,937514.649268,550431.220572,4167.513300,1929.400054,1961.878460
18,-1,83.880003,79.428409,937526.695832,550429.861979,4172.077900,1929.295416,1962.607862
19,-1,83.520003,79.297491,937538.744693,550428.531601,4176.641699,1929.295245,1963.450113
20,-1,83.160003,79.167097,937550.785023,550427.125764,4181.191200,1929.295299,1964.300139
21,-1,82.799995,79.037240,937562.816495,550425.644139,4185.725900,1929.295218,1965.157382
22,-1,82.439997,78.918077,937574.851904,550424.191058,4189.911200,1929.400117,1966.060541
